,Battery_SOH
2023-01-01,99.62173481369949
2023-01-02,100.22525858411643
2023-01-03,100.5362468591038
2023-01-04,100.15883957816534
2023-01-05,99.3425890102138
2023-01-06,99.60222977814013
2023-01-07,100.07647334475598
2023-01-08,99.43279916031436
2023-01-09,99.72674582844387
2023-01-10,99.7742902160288
2023-01-11,99.21192085852657
2023-01-12,99.42004239318146
2023-01-13,98.4132197979793
2023-01-14,99.0257837075997
2023-01-15,99.20462955458206
2023-01-16,98.85316504541055
2023-01-17,99.6641233911795
2023-01-18,98.69205758661182
2023-01-19,98.93558665399091
2023-01-20,99.05312217318583
2023-01-21,99.39238198671983
2023-01-22,98.47514135464617
2023-01-23,99.20054912564649
2023-01-24,98.80016991830588
2023-01-25,98.44794740468562
2023-01-26,98.82613104227899
2023-01-27,98.69211790867205
2023-01-28,98.39703493685236
2023-01-29,98.542540625497
2023-01-30,98.35030592094147
2023-01-31,98.44405520357537
2023-02-01,98.55253920235631
2023-02-02,98.77340504484361
2023-02-03,97.86975535035194
2023-02-04,98.82431001239688
2023-02-05,97.54187366014325
2023-02-06,98.02486447148934
2023-02-07,98.18959516194538
2023-02-08,98.0398975603205
2023-02-09,97.71109014405381
2023-02-10,97.77756332489282
2023-02-11,97.63399971960236
2023-02-12,97.54679057291673
2023-02-13,97.9199806291063
2023-02-14,97.71350464578951
2023-02-15,97.3396271214218
2023-02-16,97.75827996262997
2023-02-17,97.52128985626298
2023-02-18,97.61345863565168
2023-02-19,97.49878865257708
2023-02-20,97.00130149672337
2023-02-21,97.02184568794092
2023-02-22,97.35378808153699
2023-02-23,97.25221107963003
2023-02-24,97.00212952181074
2023-02-25,96.98269821499264
2023-02-26,97.26969946873653
2023-02-27,96.64762858334926
2023-02-28,96.927729214351
2023-03-01,96.64124220426983
2023-03-02,96.57469563903183
2023-03-03,96.90753305559616
2023-03-04,96.76322490469641
2023-03-05,96.69715289080018
2023-03-06,96.78204364214629
2023-03-07,96.33380115248983
2023-03-08,96.4689858913885
2023-03-09,96.10801997302197
2023-03-10,96.23484990574653
2023-03-11,96.03485708368969
2023-03-12,96.03909878949781
2023-03-13,96.12444710763108
2023-03-14,95.63613379502996
2023-03-15,96.44481618270564
2023-03-16,95.45059478555008
2023-03-17,95.32324341616368
2023-03-18,95.96983326205002
2023-03-19,95.79459880818888
2023-03-20,95.67883594511564
2023-03-21,95.61440365277929
2023-03-22,95.35632596814592
2023-03-23,95.02472368855426
2023-03-24,95.25034136745813
2023-03-25,94.95795148654636
2023-03-26,95.38693592002532
2023-03-27,94.98338278554937
2023-03-28,94.71275084096226
2023-03-29,94.7966842475041
2023-03-30,94.94947943628269
2023-03-31,94.5887826341588
2023-04-01,94.44333388133006
2023-04-02,94.69500616344757
2023-04-03,94.62708997133262
2023-04-04,94.33301704738865
2023-04-05,94.2750885083145
2023-04-06,94.41711498120729
2023-04-07,93.8439746975508
2023-04-08,93.78686086768704
2023-04-09,93.92406673362426
2023-04-10,94.00586585448644
2023-04-11,94.0932722696794
2023-04-12,94.37250686508487
2023-04-13,94.1168978869606
2023-04-14,93.74111844101097
2023-04-15,93.7126951376292
2023-04-16,93.34674119060865
2023-04-17,93.5708460592023
2023-04-18,93.41850240832396
2023-04-19,93.53041556810143
2023-04-20,93.1137307169343
2023-04-21,93.44580395427236
2023-04-22,93.67772167390078
2023-04-23,93.11297195546294
2023-04-24,93.19361351662968
2023-04-25,93.20744319751333
2023-04-26,92.80713385843424
2023-04-27,92.92162774454313
2023-04-28,92.78487772023455
2023-04-29,92.73690282956466
2023-04-30,92.40199706484336
2023-05-01,92.56735305227768
2023-05-02,92.63529948737363
2023-05-03,92.84694308233853
2023-05-04,92.62488124782556
2023-05-05,92.90835473725346
2023-05-06,91.95729573113358
2023-05-07,92.3740961910162
2023-05-08,92.09210260172152
2023-05-09,92.6185408799653
2023-05-10,91.64341051439345
2023-05-11,91.55808344734577
2023-05-12,91.5540822063668
2023-05-13,91.02043128270707
2023-05-14,91.42337349349576
2023-05-15,91.2766602015339
2023-05-16,91.47261813594285
2023-05-17,91.45292679273315
2023-05-18,91.83595125176477
2023-05-19,91.48072715145581
2023-05-20,90.94482890330127
2023-05-21,90.7704755985955
2023-05-22,91.10947575145195
2023-05-23,90.4875300378938
2023-05-24,91.35453762975631
2023-05-25,91.08023203621639
2023-05-26,90.50674730436859
2023-05-27,90.05445964127273
2023-05-28,90.89526171224963
2023-05-29,90.37523804642422
2023-05-30,90.70124489359203
2023-05-31,89.77167170236169
2023-06-01,89.99008749311386
2023-06-02,90.09117310991546
2023-06-03,90.02319417812942
2023-06-04,89.79338035855622
2023-06-05,90.03435497970425
2023-06-06,89.44611387118523
2023-06-07,89.64238615449362
2023-06-08,89.63968868951358
2023-06-09,89.67623165021763
2023-06-10,89.65348446342666
2023-06-11,89.02050737244863
2023-06-12,88.81536574877933
2023-06-13,89.57640304656954
2023-06-14,89.21009420359388
2023-06-15,88.80295403903304
2023-06-16,89.40974559265676
2023-06-17,88.89580239028787
2023-06-18,89.13138915521914
2023-06-19,88.71415554442304
2023-06-20,89.2282243774646
2023-06-21,89.05250225273296
2023-06-22,88.36691075545629
2023-06-23,88.6485712852863
2023-06-24,88.46601278487553
2023-06-25,88.59808946725971
2023-06-26,87.81292296182598
2023-06-27,88.22291543799953
2023-06-28,88.24912734605486
2023-06-29,87.31827815407307
2023-06-30,87.40502244620028
2023-07-01,87.06213034667198
2023-07-02,87.50677794966664
2023-07-03,87.71636267673878
2023-07-04,87.8651071156288
2023-07-05,87.34972843412594
2023-07-06,87.7289846636714
2023-07-07,86.73906956253555
2023-07-08,86.55458526819345
2023-07-09,86.96123569033101
2023-07-10,87.0052196346818
2023-07-11,86.79209157557177
2023-07-12,86.09336736998803
2023-07-13,86.59836398814615
2023-07-14,86.14505914984855
2023-07-15,86.64840176464902
2023-07-16,86.46837947382906
2023-07-17,85.9871360641018
2023-07-18,86.02543992479899
2023-07-19,85.77213594343331
2023-07-20,85.98119627081805
2023-07-21,86.19644269615038
2023-07-22,85.52388218609934
2023-07-23,85.88031395465534
2023-07-24,85.47932271448826
2023-07-25,85.30963815032129
2023-07-26,85.42429089201363
2023-07-27,85.0545273032742
2023-07-28,85.10750520839584
2023-07-29,84.82253663222335
2023-07-30,85.67941753987492
2023-07-31,85.00847906559152
2023-08-01,84.69568234760223
2023-08-02,84.87729397322026
2023-08-03,84.68670158509275
2023-08-04,84.56120912014003
2023-08-05,84.71865001001304
2023-08-06,84.6683523130142
2023-08-07,84.18844965571684
2023-08-08,84.0811545278066
2023-08-09,84.0774844908545
2023-08-10,83.37532365057932
2023-08-11,83.51704268134044
2023-08-12,84.28716228023336
2023-08-13,84.27589031405039
2023-08-14,83.61278918813309
2023-08-15,83.76536708891673
